,administrative_regions,codes,coord
0,"['Saarbrücken', 'Mitte']","['CR-CI-CH', '0080-253914-BV']",49.24065
1,['Gallus'],"['CR-CI-CH', '0080-110684-00']",50.107216
2,N/A,"['CR-CI-CH', '0080-142778-BV']",48.790281
3,N/A,"['CR-CI-CH', '0080-142778-BV']",48.790281
4,N/A,"['CR-CI-CH', '0080-142778-BV']",48.790281
5,['Appenweier'],"['CR-CI-CH', '0080-142893-BV']",48.541326
6,['Willstätt'],"['CR-CI-CH', '0080-142901-00']",48.558571
7,N/A,"['CR-CI-CH', '0080-021402-BV']",48.365581
8,N/A,"['CR-CI-CH', '0080-021402-BV']",48.365581
9,['Portbou'],"['CR-CI-CH', '0071-793158-BV']",42.424467
10,N/A,"['CR-CI-CH', '0080-251967-BV']",0.0
11,N/A,"['CR-CI-CH', '0080-251967-BV']",0.0
12,N/A,"['CR-CI-CH', '0080-251967-BV']",0.0
13,N/A,"['CR-CI-CH', '0080-251967-BV']",0.0
14,['Pantin'],"['CR-CI-CH', '0087-113209-BV']",48.897776
15,['Stuttgart-Mitte'],"['CR-CI-CH', '0080-290346-BV']",48.783622
16,N/A,"['CR-CI-CH', '0080-194258-BV']",49.1976
17,N/A,"['CR-CI-CH', '0080-194258-BV']",49.1976
18,['Vercelli'],"['CR-CI-CH', '0083-002451-00']",45.329112
19,N/A,"['CR-CI-CH', '0080-196980-BV']",49.43628
20,N/A,"['CR-CI-CH', '0080-196980-BV']",49.43628
21,['Stadtbezirk 02 Ludwigsvorstadt-Isarvorstadt'],"['CR-CI-CH', '0080-203471-00']",48.140325
22,['Kehl'],"['CR-CI-CH', '0087-212910-WD']",48.576486
23,N/A,"['CR-CI-CH', '0080-143503-BV']",47.997776
24,N/A,"['CR-CI-CH', '0080-143503-BV']",47.997776
